ball-in-bowl
frequency,haptic_forces,trial
0,0.0,1
0,0.0,2
0,0.0,3
0,2.0,4
0,2.0,5
0,2.0,6
3,2.0,7
3,2.0,8
3,2.0,9
3,1.0,10
3,1.0,11
3,1.0,12
2,1.0,13
2,1.0,14
2,1.0,15
2,0.0,16
2,0.0,17
2,0.0,18
1,2.0,19
1,2.0,20
1,2.0,21
1,1.0,22
1,1.0,23
1,1.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
2,2.0,28
2,2.0,29
2,2.0,30
2,1.0,31
2,1.0,32
2,1.0,33
0,1.0,34
0,1.0,35
0,1.0,36
0,0.0,37
0,0.0,38
0,0.0,39
1,0.0,40
1,0.0,41
1,0.0,42
1,2.0,43
1,2.0,44
1,2.0,45
3,0.0,46
3,0.0,47
3,0.0,48
3,2.0,49
3,2.0,50
3,2.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
1,1.0,55
1,1.0,56
1,1.0,57
1,0.0,58
1,0.0,59
1,0.0,60
2,0.0,61
2,0.0,62
2,0.0,63
2,2.0,64
2,2.0,65
2,2.0,66
3,1.0,67
3,1.0,68
3,1.0,69
3,0.0,70
3,0.0,71
3,0.0,72
0,2.0,73
0,2.0,74
0,2.0,75
0,1.0,76
0,1.0,77
0,1.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
1,1
1,2
1,3
0,4
0,5
0,6
0,7
0,8
0,9
1,10
1,11
1,12
